book_authors,book_title,genres,comb
Aleksandr Solzhenitsyn H.T. Willetts,one day in the life of ivan denisovich,Fiction Classics Cultural Russia Historical Historical Fiction Literature Russian Literature Literature Novels Historical Literature 20th Century Academic School,Aleksandr Solzhenitsyn H.T. Willetts one day in the life of ivan denisovich Fiction Classics Cultural Russia Historical Historical Fiction Literature Russian Literature Literature Novels Historical Literature 20th Century Academic School
Ursula K. Le Guin,a wizard of earthsea,Fantasy Fiction Young Adult Classics,Ursula K. Le Guin a wizard of earthsea Fantasy Fiction Young Adult Classics
John Fowles,the magus,Fiction Classics Fantasy Mystery Literature,John Fowles the magus Fiction Classics Fantasy Mystery Literature
Tom Robbins,jitterbug perfume,Fiction Fantasy Humor Magical Realism Literature,Tom Robbins jitterbug perfume Fiction Fantasy Humor Magical Realism Literature
Barbara Kingsolver,prodigal summer,Fiction Contemporary Environment Nature,Barbara Kingsolver prodigal summer Fiction Contemporary Environment Nature
Ursula K. Le Guin,the left hand of darkness,Science Fiction Fiction Fantasy Classics,Ursula K. Le Guin the left hand of darkness Science Fiction Fiction Fantasy Classics
Shirley Jackson Laura   Miller,the haunting of hill house,Horror Classics Fiction Gothic Mystery Fantasy Paranormal,Shirley Jackson Laura   Miller the haunting of hill house Horror Classics Fiction Gothic Mystery Fantasy Paranormal
Louis de-Bernières,corelli's mandolin,Fiction Historical Historical Fiction Romance Classics War Historical,Louis de-Bernières corelli's mandolin Fiction Historical Historical Fiction Romance Classics War Historical
Margaret Atwood,oryx and crake,Fiction Science Fiction Science Fiction Dystopia Apocalyptic Post Apocalyptic Fantasy,Margaret Atwood oryx and crake Fiction Science Fiction Science Fiction Dystopia Apocalyptic Post Apocalyptic Fantasy
Jacob Grimm Wilhelm Grimm منى الخميسي Edward Robert Hughes,grimm's fairy tales,Classics Fantasy Fiction Fantasy Fairy Tales Short Stories Childrens Literature European Literature German Literature Fantasy Mythology Young Adult,Jacob Grimm Wilhelm Grimm منى الخميسي Edward Robert Hughes grimm's fairy tales Classics Fantasy Fiction Fantasy Fairy Tales Short Stories Childrens Literature European Literature German Literature Fantasy Mythology Young Adult
Nicholas Sparks,message in a bottle,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks message in a bottle Romance Fiction Womens Fiction Chick Lit Contemporary
Stephen Hawking,a brief history of time,Science Nonfiction Science Physics History,Stephen Hawking a brief history of time Science Nonfiction Science Physics History
Italo Calvino William Weaver,if on a winter's night a traveler,Classics European Literature Italian Literature Literature Novels Fiction Magical Realism Cultural Italy,Italo Calvino William Weaver if on a winter's night a traveler Classics European Literature Italian Literature Literature Novels Fiction Magical Realism Cultural Italy
Erich Segal,love story,Romance Fiction Classics Womens Fiction Chick Lit Contemporary Novels Love Romance Love Story Drama Adult,Erich Segal love story Romance Fiction Classics Womens Fiction Chick Lit Contemporary Novels Love Romance Love Story Drama Adult
Alexander McCall Smith,the no. 1 ladies' detective agency,Mystery Fiction Cultural Africa Mystery Crime,Alexander McCall Smith the no. 1 ladies' detective agency Mystery Fiction Cultural Africa Mystery Crime
E. Lockhart,we were liars,Young Adult Contemporary Mystery Fiction Romance,E. Lockhart we were liars Young Adult Contemporary Mystery Fiction Romance
J.R.R. Tolkien,the return of the king,Fantasy Fiction Classics Adventure,J.R.R. Tolkien the return of the king Fantasy Fiction Classics Adventure
Henri Charrière,papillon,Nonfiction Biography Classics Adventure Autobiography Memoir,Henri Charrière papillon Nonfiction Biography Classics Adventure Autobiography Memoir
Diana Gabaldon,the fiery cross,Historical Historical Fiction Romance Fiction Fantasy Science Fiction Time Travel Historical,Diana Gabaldon the fiery cross Historical Historical Fiction Romance Fiction Fantasy Science Fiction Time Travel Historical
Terry Pratchett,night watch,Fantasy Humor Fiction Science Fiction Fantasy,Terry Pratchett night watch Fantasy Humor Fiction Science Fiction Fantasy
Rachel Caine,glass houses,Paranormal Vampires Young Adult Fantasy Paranormal Fantasy Fantasy Urban Fantasy,Rachel Caine glass houses Paranormal Vampires Young Adult Fantasy Paranormal Fantasy Fantasy Urban Fantasy
Jennifer Niven,all the bright places,Young Adult Contemporary Fiction Mental Health Mental Illness Health Mental Health Realistic Fiction Romance Audiobook Did Not Finish Young Adult Teen,Jennifer Niven all the bright places Young Adult Contemporary Fiction Mental Health Mental Illness Health Mental Health Realistic Fiction Romance Audiobook Did Not Finish Young Adult Teen
Anonymous Joseph Smith Jr.,the book of mormon: another testament of jesus christ,Religion Nonfiction Christianity Lds Religion Church,Anonymous Joseph Smith Jr. the book of mormon: another testament of jesus christ Religion Nonfiction Christianity Lds Religion Church
Rosamunde Pilcher,the shell seekers,Fiction Romance Historical Historical Fiction Womens Fiction Chick Lit,Rosamunde Pilcher the shell seekers Fiction Romance Historical Historical Fiction Womens Fiction Chick Lit
J.A. Redmerski,the edge of never,Romance New Adult Contemporary Romance Contemporary Romance Young Adult,J.A. Redmerski the edge of never Romance New Adult Contemporary Romance Contemporary Romance Young Adult
Marie Lu,prodigy,Young Adult Science Fiction Dystopia Romance,Marie Lu prodigy Young Adult Science Fiction Dystopia Romance
Paulo Coelho Margaret Jull Costa,veronika decides to die,Fiction Contemporary Philosophy,Paulo Coelho Margaret Jull Costa veronika decides to die Fiction Contemporary Philosophy
Sophie Kinsella,confessions of a shopaholic,Womens Fiction Chick Lit Humor Funny Adult Fiction Romance Contemporary Romance,Sophie Kinsella confessions of a shopaholic Womens Fiction Chick Lit Humor Funny Adult Fiction Romance Contemporary Romance
Raymond Chandler,the big sleep,Mystery Fiction Mystery Crime Classics Mystery Noir Mystery Detective,Raymond Chandler the big sleep Mystery Fiction Mystery Crime Classics Mystery Noir Mystery Detective
Haruki Murakami Jay Rubin Philip Gabriel,1q84,Fiction Fantasy Magical Realism Cultural Japan Science Fiction,Haruki Murakami Jay Rubin Philip Gabriel 1q84 Fiction Fantasy Magical Realism Cultural Japan Science Fiction
Michael Pollan,the omnivore's dilemma: a natural history of four meals,Nonfiction Food and Drink Food Science Health History Health Nutrition,Michael Pollan the omnivore's dilemma: a natural history of four meals Nonfiction Food and Drink Food Science Health History Health Nutrition
Charles Dickens Joe L. Wheeler,a christmas carol,Classics Fiction Holiday Christmas Fantasy Literature Historical Historical Fiction Holiday Literature 19th Century Classics Classic Literature Academic School,Charles Dickens Joe L. Wheeler a christmas carol Classics Fiction Holiday Christmas Fantasy Literature Historical Historical Fiction Holiday Literature 19th Century Classics Classic Literature Academic School
Charlaine Harris,club dead,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery,Charlaine Harris club dead Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery
J.R. Ward,lover revealed,Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy,J.R. Ward lover revealed Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy
Dee Brown,bury my heart at wounded knee: an indian history of the american west,History Nonfiction North American Hi... American History Classics Historical,Dee Brown bury my heart at wounded knee: an indian history of the american west History Nonfiction North American Hi... American History Classics Historical
Wallace Stegner,angle of repose,Fiction Historical Historical Fiction Classics Literature,Wallace Stegner angle of repose Fiction Historical Historical Fiction Classics Literature
Ally Carter,"i'd tell you i love you, but then i'd have to kill you",Young Adult Romance Mystery Contemporary,"Ally Carter i'd tell you i love you, but then i'd have to kill you Young Adult Romance Mystery Contemporary"
Muriel Barbery Alison Anderson,the elegance of the hedgehog,Fiction Cultural France Philosophy Contemporary,Muriel Barbery Alison Anderson the elegance of the hedgehog Fiction Cultural France Philosophy Contemporary
Walter Scott,ivanhoe,Classics Historical Historical Fiction Fiction Adventure Literature,Walter Scott ivanhoe Classics Historical Historical Fiction Fiction Adventure Literature
Sarah J. Maas,queen of shadows,Fantasy Young Adult Romance,Sarah J. Maas queen of shadows Fantasy Young Adult Romance
Marissa Meyer,scarlet,Young Adult Fantasy Science Fiction Romance,Marissa Meyer scarlet Young Adult Fantasy Science Fiction Romance
Ayn Rand,anthem,Fiction Classics Philosophy Science Fiction Dystopia Science Fiction,Ayn Rand anthem Fiction Classics Philosophy Science Fiction Dystopia Science Fiction
Virgil Robert Fitzgerald,the aeneid,Classics Poetry Fiction Fantasy Mythology Literature,Virgil Robert Fitzgerald the aeneid Classics Poetry Fiction Fantasy Mythology Literature
J.R. Ward,lover avenged,Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy,J.R. Ward lover avenged Romance Paranormal Romance Fantasy Paranormal Paranormal Vampires Romance Fantasy
Thomas Hardy,jude the obscure,Classics Fiction Literature Literature 19th Century,Thomas Hardy jude the obscure Classics Fiction Literature Literature 19th Century
Maggie Stiefvater,linger,Fantasy Romance Paranormal Romance Young Adult Teen,Maggie Stiefvater linger Fantasy Romance Paranormal Romance Young Adult Teen
Rudyard Kipling Alev Lytle Croutier,the jungle books,Classics Fiction Childrens Fantasy,Rudyard Kipling Alev Lytle Croutier the jungle books Classics Fiction Childrens Fantasy
Chaim Potok,my name is asher lev,Fiction Classics Historical Historical Fiction Literature Jewish Religion Religion Judaism,Chaim Potok my name is asher lev Fiction Classics Historical Historical Fiction Literature Jewish Religion Religion Judaism
Dean Koontz,watchers,Fiction Thriller Horror Science Fiction Mystery Suspense,Dean Koontz watchers Fiction Thriller Horror Science Fiction Mystery Suspense
Charlaine Harris,living dead in dallas,Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery Romance Paranormal Romance Fantasy Supernatural Adult,Charlaine Harris living dead in dallas Fantasy Paranormal Vampires Fantasy Paranormal Fantasy Urban Fantasy Fiction Romance Mystery Romance Paranormal Romance Fantasy Supernatural Adult
Dean Koontz,odd thomas,Horror Fiction Mystery Fantasy Thriller Fantasy Paranormal,Dean Koontz odd thomas Horror Fiction Mystery Fantasy Thriller Fantasy Paranormal
Carl Sagan,cosmos,Science Nonfiction Science Astronomy Science Physics History,Carl Sagan cosmos Science Nonfiction Science Astronomy Science Physics History
Kurt Vonnegut,the sirens of titan,Science Fiction Fiction Classics,Kurt Vonnegut the sirens of titan Science Fiction Fiction Classics
Caleb Carr,the alienist,Historical Historical Fiction Mystery Fiction Thriller Mystery Crime Historical Thriller Mystery Thriller,Caleb Carr the alienist Historical Historical Fiction Mystery Fiction Thriller Mystery Crime Historical Thriller Mystery Thriller
Dan Brown,inferno,Fiction Mystery Thriller Historical Historical Fiction,Dan Brown inferno Fiction Mystery Thriller Historical Historical Fiction
E.L. Konigsburg,from the mixed-up files of mrs. basil e. frankweiler,Fiction Childrens Young Adult Mystery Classics,E.L. Konigsburg from the mixed-up files of mrs. basil e. frankweiler Fiction Childrens Young Adult Mystery Classics
Orson Scott Card,ender's shadow,Science Fiction Fiction Young Adult Fantasy Science Fiction Fantasy,Orson Scott Card ender's shadow Science Fiction Fiction Young Adult Fantasy Science Fiction Fantasy
Robin Hobb,assassin's apprentice,Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy,Robin Hobb assassin's apprentice Fantasy Fiction Fantasy Epic Fantasy Fantasy High Fantasy
Steven D. Levitt Stephen J. Dubner,"freakonomics: a rogue economist explores the hidden side of everything (freakonomics, #1)",Nonfiction Economics Business Science Psychology,"Steven D. Levitt Stephen J. Dubner freakonomics: a rogue economist explores the hidden side of everything (freakonomics, #1) Nonfiction Economics Business Science Psychology"
David Nicholls,one day,Fiction Romance Contemporary Womens Fiction Chick Lit,David Nicholls one day Fiction Romance Contemporary Womens Fiction Chick Lit
Joseph Campbell Bill Moyers,the power of myth,Nonfiction Fantasy Mythology Philosophy Religion History Psychology,Joseph Campbell Bill Moyers the power of myth Nonfiction Fantasy Mythology Philosophy Religion History Psychology
